partner_id,lender_name,loan_theme_type,country,region,number_of_loans,loaned_amount_for_theme_region_combo
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Soung Province,1,4325
9,KREDIT Microfinance Institution,Underserved,Cambodia,Steung Traeng Province,77,49200
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Steung Traeng Province,32,14425
9,KREDIT Microfinance Institution,General,Cambodia,Steung Traeng Province,4,4850
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Steung Traeng Province,9,13425
9,KREDIT Microfinance Institution,Sanitation,Cambodia,Svay Reang Province,7,3250
9,KREDIT Microfinance Institution,Solar Home Systems,Cambodia,Svay Reang Province,15,7100
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Svay Reang Province,2,3000
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Svay Reang Province,571,236425
9,KREDIT Microfinance Institution,Solar Home Systems,Cambodia,Takeo province,1,750
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Takeo province,1698,687600
9,KREDIT Microfinance Institution,General,Cambodia,Takeo province,222,221000
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Takeo province,24,34875
9,KREDIT Microfinance Institution,Underserved,Cambodia,Takeo province,4,2000
9,KREDIT Microfinance Institution,Vulnerable Populations,Cambodia,Tbong Khmum Province,959,399025
9,KREDIT Microfinance Institution,Sanitation,Cambodia,Tbong Khmum Province,5,350
9,KREDIT Microfinance Institution,Higher Education,Cambodia,Tbong Khmum Province,22,43675
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Aai o FIti,8,6550
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Aele-Fou,26,21800
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Aele-Fou,1,600
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Afega,2,9475
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Afega,22,17375
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Afiamalu,5,4000
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Afiamalu,1,375
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Alafua,21,15650
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Alafua,2,800
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Alafua,3,14675
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Alamagoto,2,975
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Alamutu E,2,2250
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Alamutu,22,13525
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Alaoa,7,4125
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Aleisa,12,8000
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Aleisa,1,6825
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Amaile Fou,11,7325
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Aopo, Savaii",36,25825
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Apia,3,3000
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Apolima,4,11900
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Apolima,1,400
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Apolima,7,4425
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Asaga, Savaii",1,2300
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Asaga, Savaii",11,7150
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Asau,5,9825
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Asau,29,20050
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Auala,19,15150
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Auala,3,8425
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Aufaga,7,4200
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Aufaga,1,3150
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Avao, Savaii",9,5450
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Avele,6,4125
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Elise Fou,1,5975
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Elise Fou,2,1125
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Eva,15,11775
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,FALEATIU TAI,15,16950
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,FAUSAGA,7,5925
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Faala Palauli,2,5725
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Faala Palauli,27,22225
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Faatoia,2,800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Faatoia,10,10350
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Faatoia,3,11775
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Faga, Savaii Island",1,750
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fagafau,4,2600
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fagalii Uta,70,53675
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Fagalii Uta,1,400
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Fagalii Uta,2,7900
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fagaloa Taelefaga,16,12250
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,"Fagamalo, Savaii",1,1375
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Fagamalo, Savaii",18,10875
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Fagamalo, Savaii",1,1825
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fagasa Savaii,2,975
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fagasa,12,6725
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Faiaai, Savaii",1,4000
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Faiaai, Savaii",6,3450
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Falealili,12,7875
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Falealupo Savaii,22,16000
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Falealupo, Savaii",12,8950
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Faleapuna,12,8525
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Faleaseela,1,6000
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Faleaseela,1,400
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Faleasiu,4,19050
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Faleasiu,88,66100
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Falefa,12,5825
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Falelauniu,28,18800
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Falelauniu,2,2325
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Falelima, Savaii",1,3925
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Falelima, Savaii",16,11600
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Faleseela,5,4300
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Faletagaloa, Savaii",12,7050
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Faleula Fogaa,6,3175
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Faleula,2,9925
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Faleula,36,23150
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Fasitoo Tai,2,9850
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Fasitoo Tai,1,775
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fasitoo Tai,68,51700
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fasitoo Uta,3,2350
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fatausi Savaii,8,7275
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Fatausi Savaii,1,1625
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fatuvalu savaii,1,775
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Foailalo, Savaii",1,3875
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Foailalo, Savaii",14,8975
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Foaluga Savaii,11,6450
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fogapoa Savaii,13,9200
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Fogapoa Savaii,2,4700
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fogasavaii Savaii,8,6425
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Fogatuli,1,800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fugalei,3,2025
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Fusi Safata,1,4850
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fusi Safata,12,11625
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Fusi Safotulafai, Savaii Island",15,6725
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Fusi Safotulafai, Savaii Island",1,1625
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Fusi Saoluafata,16,16400
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Fusi Saoluafata,1,3825
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Gagaifo,39,35725
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Gataivai Savaii,22,16650
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Gataivai Savaii,1,1825
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Gautavai Savaii,2,10850
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Gautavai Savaii,16,9800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Iva, Savaii Island",38,26250
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Iva, Savaii Island",2,7500
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lalomalava Savaii,8,6850
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lalomalava Savaii,2,9125
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lalomanu,21,14950
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lalomauga,18,10875
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lalotoa Leauvaa,7,4725
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lalotoa Leauvaa,1,1975
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lalovaea,1,3875
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lalovaea,9,9000
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lano Savaii,5,3675
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Lano,1,800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lano,1,750
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Laulii,70,51175
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Leauvaa,31,19375
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Leauvaa,1,5350
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lefagaoalii Savaii,37,31575
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lefagaoalii Savaii,1,1500
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lelepa Savaii,16,9825
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lepale,1,5975
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lepale,8,6125
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lepea,3,2725
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lepea,1,5525
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Lepea,1,775
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Letogo,31,19350
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Letogo,1,1900
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Leualesi, Leauvaa",4,3300
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Leualesi, Leauvaa",2,9200
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Leulumoega,35,26350
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Leulumoega,1,400
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Leusoalii,3,11175
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Leusoalii,24,19300
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Levi Saleimoa,2,800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Levi Saleimoa,22,21325
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Levi Saleimoa,2,4425
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Loan, Fagaloa",1,600
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Lona, Fagaloa",12,7150
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Lona, Fagaloa",2,10525
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lotofaga Aleipata,1,3175
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lotofaga Aleipata,2,1375
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lotofaga Safata,5,3275
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lotofaga Safata,1,5900
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lotofaga,25,20525
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lotofaga,7,28150
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lotopa,4,19175
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lotopa,54,43450
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lotopue,20,16350
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lotopue,2,4700
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lotosoa Leauvaa,6,4800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lotosoa Saleimoa,16,12750
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Luatuanuu,40,23500
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Lufilufi,13,12875
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Lufilufi,1,3875
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,MANASE SAVAII,1,3150
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,MANASE SAVAII,5,4425
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,MAUGA,6,4250
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Maagao,12,9650
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Maagiagi,2,1900
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Maagiagi,1,400
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Magiagi,40,26500
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Magiagi,1,4000
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Malae Faga Savaii,13,12375
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Malie,53,37400
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Malie,2,10550
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Malololelei,6,3750
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Maninoa,7,4875
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Manono,1,1175
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Manono,37,23100
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Manunu,14,11500
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Manunu,1,3950
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Matafaa,3,2200
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Matatufu,1,775
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Matatufu,1,3000
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Matatufu,38,32475
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Matautu Faleapuna,1,3125
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Matautu Faleapuna,14,10075
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Matautu Lefaga,17,11800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Matautu Uta,6,5750
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Matautu,32,25375
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Moamoa,1,5975
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Moamoa,3,2200
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Moamoa,1,600
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Moataa,30,23150
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Moataa,3,9575
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Mulifanua,1,400
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Mulifanua,2,5400
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Mulifanua,52,38375
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Mulivai,14,11725
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Mutiatele,15,6975
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Neiafu Savaii,2,1800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Neiafu Uta,2,1375
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Neiafu,12,9175
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Neiafu,3,9650
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Nofoalii,46,34400
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Nonoa,17,12575
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Nuu,21,14500
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Nuusuatia,19,16450
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,PUAPUA,1,1825
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,PUAPUA,10,5750
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Paia, Savaii",1,4700
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Paia, Savaii",11,8250
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Papa Puleia,2,1400
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Papa Sataua, Savaii",3,5400
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Papa Sataua, Savaii",17,14100
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Papaigalagala,11,10700
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Papaigalagala,1,6950
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Papaloa Tanumaleko,5,2400
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Papaloloa,1,950
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Papauta,25,20550
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Pesega,27,16350
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Poutasi,8,4875
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Puipaa,14,15650
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Puipaa,4,17800
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Puipaa,2,625
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Puleia, Savaii",3,3175
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,SATITOA ALEIPATA,32,24550
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Saanapu Uta,1,400
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Saanapu,21,16675
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Saanapu,1,4800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Saasaai,10,8525
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Saasaai, Savaii Island",6,3125
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Safaatoa Tai,6,4900
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Safaatoa Uta,2,7250
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Safaatoa Uta,11,8925
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Safai Savaii,12,7500
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Safotu Savaii,1,3850
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Safotu Savaii,11,8775
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Safotu, Savaii",2,1000
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Safua Savaii,2,3375
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Safua Savaii,17,15850
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Sagone,17,9875
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Saipipi Savaii,26,18600
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Saipipi Savaii,1,3225
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Salamumu,3,12675
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Salamumu,13,8825
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Salani,24,18950
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Saleapaga,9,8100
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Saleapaga,1,1600
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Saleaula Savaii,16,11275
15,South Pacific Business Development (SPBD) - Samoa,Seasonal Worker,Samoa,Saleaula Savaii,1,775
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Saleaumua, Aleipata",16,14775
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Saleaumua, Aleipata",1,5800
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Saleia,7,4000
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Saleia,2,8625
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Saleilua,1,3225
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Saleilua,22,18200
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Salelavalu Tai, Savaii",18,12675
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Salelavalu Tai, Savaii",1,1525
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Salelavalu Uta, Savaii Island",5,2850
15,South Pacific Business Development (SPBD) - Samoa,Higher Education,Samoa,Salelesi,2,475
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,Salelesi,1,5025
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,Salelesi,34,31225
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Salelologa Foua, Savaii Island",1,400
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Salelologa P, Savaii",1,400
15,South Pacific Business Development (SPBD) - Samoa,SME,Samoa,"Salelologa, Savaii Island",1,3175
15,South Pacific Business Development (SPBD) - Samoa,Underserved,Samoa,"Salelologa, Savaii Island",17,6800
