country,region,world_region,MPI
Cote d'Ivoire,Nord-Ouest,Sub-Saharan Africa,0.518
Cote d'Ivoire,Ouest,Sub-Saharan Africa,0.38
Cote d'Ivoire,Sud sans Abidjan,Sub-Saharan Africa,0.264
Cote d'Ivoire,Sud-ouest,Sub-Saharan Africa,0.394
Cote d'Ivoire,Ville d'Abidjan,Sub-Saharan Africa,0.109
Cameroon,Adamaoua,Sub-Saharan Africa,0.269
Cameroon,Centre (sans Yaoundð),Sub-Saharan Africa,0.179
Cameroon,Douala,Sub-Saharan Africa,0.024
Cameroon,Est,Sub-Saharan Africa,0.274
Cameroon,Extrðme-Nord,Sub-Saharan Africa,0.54
Cameroon,Littoral (sans Douala),Sub-Saharan Africa,0.091
Cameroon,Nord,Sub-Saharan Africa,0.458
Cameroon,Nord-Ouest,Sub-Saharan Africa,0.167
Cameroon,Ouest,Sub-Saharan Africa,0.146
Cameroon,Sud,Sub-Saharan Africa,0.131
Cameroon,Sud-Ouest,Sub-Saharan Africa,0.129
Cameroon,Yaoundð,Sub-Saharan Africa,0.026
"Congo, Democratic Republic of the",Kinshasa,Sub-Saharan Africa,0.102
"Congo, Democratic Republic of the",Bandundu,Sub-Saharan Africa,0.435
"Congo, Democratic Republic of the",Bas-Congo,Sub-Saharan Africa,0.393
"Congo, Democratic Republic of the",ðquateur,Sub-Saharan Africa,0.48
"Congo, Democratic Republic of the",Kasað-Occidental,Sub-Saharan Africa,0.49
"Congo, Democratic Republic of the",Kasað-Oriental,Sub-Saharan Africa,0.431
"Congo, Democratic Republic of the",Katanga,Sub-Saharan Africa,0.4
"Congo, Democratic Republic of the",Maniema,Sub-Saharan Africa,0.409
"Congo, Democratic Republic of the",Nord-Kivu,Sub-Saharan Africa,0.349
"Congo, Democratic Republic of the",Orientale,Sub-Saharan Africa,0.401
"Congo, Democratic Republic of the",Sud-Kivu,Sub-Saharan Africa,0.462
"Congo, Republic of",Kouilou,Sub-Saharan Africa,0.352
"Congo, Republic of",Niari,Sub-Saharan Africa,0.238
"Congo, Republic of",Lðkoumou,Sub-Saharan Africa,0.323
"Congo, Republic of",Bouenza,Sub-Saharan Africa,0.274
"Congo, Republic of",Pool,Sub-Saharan Africa,0.299
"Congo, Republic of",Plateaux,Sub-Saharan Africa,0.357
"Congo, Republic of",Cuvette,Sub-Saharan Africa,0.246
"Congo, Republic of",Cuvette-Ouest,Sub-Saharan Africa,0.312
"Congo, Republic of",Sangha,Sub-Saharan Africa,0.285
"Congo, Republic of",Likouala,Sub-Saharan Africa,0.304
"Congo, Republic of",Brazzaville,Sub-Saharan Africa,0.103
"Congo, Republic of",Pointe-Noire,Sub-Saharan Africa,0.094
Colombia,"Guajira, Cesar, Magdalena",Latin America and Caribbean,0.056
Colombia,Barranquilla A. M.,Latin America and Caribbean,0.009
Colombia,"Atlantico, San Andres, Bolivar Norte",Latin America and Caribbean,0.012
Colombia,"Bolivar Sur, Sucre, Cordoba",Latin America and Caribbean,0.061
Colombia,Santanderes,Latin America and Caribbean,0.022
Colombia,"Boyaca, Cmarca, Meta",Latin America and Caribbean,0.018
Colombia,Medellin A.M.,Latin America and Caribbean,0.005
Colombia,Antioquia Sin Medellin,Latin America and Caribbean,0.037
Colombia,"Caldas, Risaralda, Quindio",Latin America and Caribbean,0.009
Colombia,"Tolima, Huila, Caqueta",Latin America and Caribbean,0.027
Colombia,Cali A.M.,Latin America and Caribbean,0.005
Colombia,Valle Sin Cali Ni Litoral,Latin America and Caribbean,0.012
Colombia,Cauca Y Nariðo Sin Litoral,Latin America and Caribbean,0.039
Colombia,Litoral Pacifico,Latin America and Caribbean,0.059
Colombia,Bogota,Latin America and Caribbean,0.003
Colombia,Orinoquia Y Amazonia,Latin America and Caribbean,0.028
Comoros,Mwali (Mohðli),Sub-Saharan Africa,0.213
Comoros,Ndzuwani (Ndzouani or Anjouan),Sub-Saharan Africa,0.22
Comoros,Ngazidja (Grande Comore),Sub-Saharan Africa,0.116
Djibouti,Djibouti,Arab States,0.125
Djibouti,Other Districts,Arab States,0.214
Dominican Republic,Cibao Nordeste,Latin America and Caribbean,0.028
Dominican Republic,Cibao Noroeste,Latin America and Caribbean,0.047
Dominican Republic,Cibao Norte,Latin America and Caribbean,0.028
Dominican Republic,Cibao Sur,Latin America and Caribbean,0.03
Dominican Republic,Del Yuma,Latin America and Caribbean,0.039
Dominican Republic,El Valle,Latin America and Caribbean,0.078
Dominican Republic,Enriquillo,Latin America and Caribbean,0.055
Dominican Republic,Higuamo,Latin America and Caribbean,0.043
Dominican Republic,Metropolitana,Latin America and Caribbean,0.028
Dominican Republic,Valdesia,Latin America and Caribbean,0.04
Algeria,,Arab States,0.611
Ecuador,Mountains,Latin America and Caribbean,0.014
Ecuador,Coast,Latin America and Caribbean,0.01
Ecuador,Amazon,Latin America and Caribbean,0.046
Ecuador,Galapagos Island,Latin America and Caribbean,0.003
Egypt,Cairo,Arab States,0.006
Egypt,Alexandria,Arab States,0.004
Egypt,Port Said,Arab States,0.003
Egypt,Suez,Arab States,0.008
Egypt,Damietta,Arab States,0.011
Egypt,Dakahlia,Arab States,0.005
Egypt,Sharkia,Arab States,0.01
Egypt,Kalyubia,Arab States,0.005
Egypt,Kafr El-Sheikh,Arab States,0.006
Egypt,Gharbia,Arab States,0.006
Egypt,Menoufia,Arab States,0.008
Egypt,Behera,Arab States,0.012
Egypt,Ismailia,Arab States,0.009
Egypt,Giza,Arab States,0.018
Egypt,Beni Suef,Arab States,0.017
Egypt,Fayoum,Arab States,0.022
Egypt,Menya,Arab States,0.022
Egypt,Assuit,Arab States,0.038
Egypt,Souhag,Arab States,0.035
Egypt,Qena,Arab States,0.015
Egypt,Aswan,Arab States,0.013
Egypt,Luxor,Arab States,0.015
Egypt,Red Sea,Arab States,0.015
Egypt,New Valley,Arab States,0.003
Egypt,Matroh,Arab States,0.036
Ethiopia,Tigray,Sub-Saharan Africa,0.537
Ethiopia,Affar,Sub-Saharan Africa,0.663
Ethiopia,Amhara,Sub-Saharan Africa,0.588
Ethiopia,Oromiya,Sub-Saharan Africa,0.592
Ethiopia,Somali,Sub-Saharan Africa,0.647
Ethiopia,Benishangul-Gumuz,Sub-Saharan Africa,0.584
Ethiopia,"Southern Nations, Nationalities, and People's Region",Sub-Saharan Africa,0.574
Ethiopia,Gambela,Sub-Saharan Africa,0.474
Ethiopia,Harari,Sub-Saharan Africa,0.333
Ethiopia,Addis Ababa,Sub-Saharan Africa,0.085
Ethiopia,Dire Dawa,Sub-Saharan Africa,0.338
Gabon,Libreville/Port-Gentil,Sub-Saharan Africa,0.024
Gabon,Estuaire (sans Libreville),Sub-Saharan Africa,0.063
Gabon,Haut-Ogoouð,Sub-Saharan Africa,0.092
Gabon,Moyen-Ogoouð,Sub-Saharan Africa,0.138
Gabon,Ngounið,Sub-Saharan Africa,0.184
Gabon,Nyanga,Sub-Saharan Africa,0.16
Gabon,Ogoouð Maritime (sans Port-Gentil),Sub-Saharan Africa,0.076
Gabon,Ogoouð-Ivindo,Sub-Saharan Africa,0.264
Gabon,Ogoouð-Lolo,Sub-Saharan Africa,0.152
Gabon,Woleu-Nðtem,Sub-Saharan Africa,0.096
Ghana,Ashanti,Sub-Saharan Africa,0.101
Ghana,Brong Ahafo,Sub-Saharan Africa,0.16
Ghana,Central,Sub-Saharan Africa,0.171
Ghana,Eastern,Sub-Saharan Africa,0.155
Ghana,Greater Accra,Sub-Saharan Africa,0.058
Ghana,Northern,Sub-Saharan Africa,0.382
Ghana,Upper East,Sub-Saharan Africa,0.289
Ghana,Upper West,Sub-Saharan Africa,0.259
Ghana,Volta,Sub-Saharan Africa,0.138
Ghana,Western,Sub-Saharan Africa,0.122
Guinea,Bokð,Sub-Saharan Africa,0.418
Guinea,Conakry,Sub-Saharan Africa,0.122
Guinea,Faranah,Sub-Saharan Africa,0.599
Guinea,Kankan,Sub-Saharan Africa,0.603
Guinea,Kindia,Sub-Saharan Africa,0.503
Guinea,Labð,Sub-Saharan Africa,0.554
Guinea,Mamou,Sub-Saharan Africa,0.531
Guinea,N'Zðrðkorð,Sub-Saharan Africa,0.509
Gambia,Banjul,Sub-Saharan Africa,0.095
Gambia,Kanifing,Sub-Saharan Africa,0.157
Gambia,Brikama,Sub-Saharan Africa,0.242
Gambia,Mansakonko,Sub-Saharan Africa,0.352
Gambia,Kerewan,Sub-Saharan Africa,0.397
Gambia,Kuntaur,Sub-Saharan Africa,0.555
Gambia,Janjanbureh,Sub-Saharan Africa,0.46
Gambia,Basse,Sub-Saharan Africa,0.524
Guinea-Bissau,Bafata,Sub-Saharan Africa,0.545
Guinea-Bissau,Biombo,Sub-Saharan Africa,0.382
Guinea-Bissau,Bolama,Sub-Saharan Africa,0.352
Guinea-Bissau,Cacheu,Sub-Saharan Africa,0.335
Guinea-Bissau,Gabu,Sub-Saharan Africa,0.544
Guinea-Bissau,Oio,Sub-Saharan Africa,0.505
Guinea-Bissau,Quinara,Sub-Saharan Africa,0.414
Guinea-Bissau,Tombali,Sub-Saharan Africa,0.43
Guinea-Bissau,Sab,Sub-Saharan Africa,0.163
Guatemala,Alta Verapaz,Latin America and Caribbean,0.214
Guatemala,Baja Verapaz,Latin America and Caribbean,0.147
Guatemala,Chimaltenango,Latin America and Caribbean,0.082
Guatemala,Chiquimula,Latin America and Caribbean,0.2
Guatemala,El Progreso,Latin America and Caribbean,0.07
Guatemala,Escuintla,Latin America and Caribbean,0.067
Guatemala,Guatemala Municipio,Latin America and Caribbean,0.014
Guatemala,Guatemala Resto,Latin America and Caribbean,0.036
Guatemala,Huehuetenango,Latin America and Caribbean,0.187
Guatemala,Izabal,Latin America and Caribbean,0.106
Guatemala,Jalapa,Latin America and Caribbean,0.165
Guatemala,Jutiapa,Latin America and Caribbean,0.113
Guatemala,Peten,Latin America and Caribbean,0.134
Guatemala,Quetzaltenango,Latin America and Caribbean,0.094
Guatemala,Quiche,Latin America and Caribbean,0.193
Guatemala,Retalhuleu,Latin America and Caribbean,0.1
Guatemala,Sacatepequez,Latin America and Caribbean,0.048
Guatemala,San Marcos,Latin America and Caribbean,0.123
Guatemala,Santa Rosa,Latin America and Caribbean,0.093
Guatemala,Solola,Latin America and Caribbean,0.09
Guatemala,Suchitepequez,Latin America and Caribbean,0.112
Guatemala,Totonicapan,Latin America and Caribbean,0.121
Guatemala,Zacapa,Latin America and Caribbean,0.112
Guyana,Barima-Waini,Latin America and Caribbean,0.057
Guyana,Cuyuni-Mazaruni and Potaro-Siparuni,Latin America and Caribbean,0.095
Guyana,Demerara-Mahaica,Latin America and Caribbean,0.004
Guyana,East Berbice-Corentyne,Latin America and Caribbean,0.006
Guyana,Essequibo Islands-West Demerara,Latin America and Caribbean,0.005
Guyana,Mahaica-Berbice,Latin America and Caribbean,0.006
Guyana,Pomeroon-Supenaam,Latin America and Caribbean,0.014
Guyana,Upper Demerara-Berbice,Latin America and Caribbean,0.004
Guyana,Upper Takutu-Upper Essequibo,Latin America and Caribbean,0.145
Honduras,Atlðntida,Latin America and Caribbean,0.045
Honduras,Colðn,Latin America and Caribbean,0.058
Honduras,Comayagua,Latin America and Caribbean,0.077
Honduras,Copðn,Latin America and Caribbean,0.161
Honduras,Cortðs,Latin America and Caribbean,0.026
Honduras,Choluteca,Latin America and Caribbean,0.108
Honduras,El Paraðso,Latin America and Caribbean,0.095
Honduras,Francisco Morazðn,Latin America and Caribbean,0.031
Honduras,Gracias a Dios,Latin America and Caribbean,0.124
Honduras,Intibucð,Latin America and Caribbean,0.139
Honduras,Islas de la Bahða,Latin America and Caribbean,0.017
Honduras,La Paz,Latin America and Caribbean,0.107
Honduras,Lempira,Latin America and Caribbean,0.201
Honduras,Ocotepeque,Latin America and Caribbean,0.109
Honduras,Olancho,Latin America and Caribbean,0.089
Honduras,Santa Bðrbara,Latin America and Caribbean,0.076
Honduras,Valle,Latin America and Caribbean,0.068
Honduras,Yoro,Latin America and Caribbean,0.073
Haiti,Aire Mðtropolitaine/Reste-Ouest,Latin America and Caribbean,0.162
Haiti,Sud-Est,Latin America and Caribbean,0.307
Haiti,Nord,Latin America and Caribbean,0.244
Haiti,Nord-Est,Latin America and Caribbean,0.323
Haiti,Artibonite,Latin America and Caribbean,0.316
Haiti,Centre,Latin America and Caribbean,0.391
Haiti,Sud,Latin America and Caribbean,0.249
Haiti,Grande-Anse,Latin America and Caribbean,0.378
Haiti,Nord-Ouest,Latin America and Caribbean,0.311
Haiti,Nippes,Latin America and Caribbean,0.257
Indonesia,Aceh,East Asia and the Pacific,0.077
Indonesia,North Sumatera,East Asia and the Pacific,0.071
Indonesia,West Sumatera,East Asia and the Pacific,0.056
Indonesia,Riau,East Asia and the Pacific,0.053
Indonesia,Jambi,East Asia and the Pacific,0.072
Indonesia,South Sumatera,East Asia and the Pacific,0.054
Indonesia,Bengkulu,East Asia and the Pacific,0.059
Indonesia,Lampung,East Asia and the Pacific,0.065
Indonesia,Bangka Belitung,East Asia and the Pacific,0.053
Indonesia,Riau Islands,East Asia and the Pacific,0.041
Indonesia,DKI Jakarta,East Asia and the Pacific,0.029
Indonesia,West Java,East Asia and the Pacific,0.057
Indonesia,Central Java,East Asia and the Pacific,0.053
Indonesia,DI Yogyakarta,East Asia and the Pacific,0.025
Indonesia,East Java,East Asia and the Pacific,0.055
Indonesia,Banten,East Asia and the Pacific,0.075
Indonesia,Bali,East Asia and the Pacific,0.042
Indonesia,West Nusa Tenggara,East Asia and the Pacific,0.121
Indonesia,East Nusa Tenggara,East Asia and the Pacific,0.164
Indonesia,West Kalimantan,East Asia and the Pacific,0.086
Indonesia,Central Kalimantan,East Asia and the Pacific,0.084
Indonesia,South Kalimantan,East Asia and the Pacific,0.085
Indonesia,East Kalimantan,East Asia and the Pacific,0.058
Indonesia,North Sulawesi,East Asia and the Pacific,0.059
Indonesia,Central Sulawesi,East Asia and the Pacific,0.132
Indonesia,South Sulawesi,East Asia and the Pacific,0.063
Indonesia,Southeast Sulawesi,East Asia and the Pacific,0.109
Indonesia,Gorontalo,East Asia and the Pacific,0.128
Indonesia,West Sulawesi,East Asia and the Pacific,0.161
Indonesia,Maluku,East Asia and the Pacific,0.105
Indonesia,North Maluku,East Asia and the Pacific,0.129
Indonesia,West Papua,East Asia and the Pacific,0.122
Indonesia,Papua,East Asia and the Pacific,0.234
India,,South Asia,0.387
Iraq,Dohuk,Arab States,0.466
Iraq,Ninewa,Arab States,0.3
Iraq,Suleimaniya,Arab States,0.301
Iraq,Kirkuk,Arab States,0.035
Iraq,Erbil,Arab States,0.031
Iraq,Diyala,Arab States,0.038
Iraq,Al-Anbar,Arab States,0.052
Iraq,Baghdad,Arab States,0.027
Iraq,Babil,Arab States,0.042
Iraq,Karbala,Arab States,0.053
Iraq,Wasit,Arab States,0.058
Iraq,Salahaddin,Arab States,0.054
Iraq,Al-Najaf,Arab States,0.055
Iraq,Al-Qadisiya,Arab States,0.082
Iraq,Al-Muthanna,Arab States,0.079
Iraq,Thi-Qar,Arab States,0.06
Iraq,Missan,Arab States,0.098
Iraq,Basrah,Arab States,0.045
Jamaica,Kingston,Latin America and Caribbean,0.009
Jamaica,St.  Andrew,Latin America and Caribbean,0.007
Jamaica,St. Thomas,Latin America and Caribbean,0.006
Jamaica,Portland,Latin America and Caribbean,0.004
Jamaica,St. Mary,Latin America and Caribbean,0.009
Jamaica,St. Ann,Latin America and Caribbean,0.004
Jamaica,Trelawny,Latin America and Caribbean,0.016
Jamaica,St. James,Latin America and Caribbean,0.003
Jamaica,Hanover,Latin America and Caribbean,0.007
Jamaica,Westmoreland,Latin America and Caribbean,0.004
Jamaica,St. Elizabeth,Latin America and Caribbean,0.013
Jamaica,Manchester,Latin America and Caribbean,0.006
Jamaica,Clarendon,Latin America and Caribbean,0.014
Jamaica,St. Catherine,Latin America and Caribbean,0.004
Jordan,Central,Arab States,0.005
Jordan,North,Arab States,0.006
Jordan,South,Arab States,0.008
Kazakhstan,,Europe and Central Asia,0.611
Kenya,Central,Sub-Saharan Africa,0.075
Kenya,Coast,Sub-Saharan Africa,0.242
Kenya,Eastern,Sub-Saharan Africa,0.19
Kenya,Nairobi,Sub-Saharan Africa,0.02
Kenya,North Eastern,Sub-Saharan Africa,0.509
Kenya,Nyanza,Sub-Saharan Africa,0.211
Kenya,Rift Valley,Sub-Saharan Africa,0.205
Kenya,Western,Sub-Saharan Africa,0.223
Kyrgyzstan,,Europe and Central Asia,0.611
Cambodia,Banteay Mean Chey,East Asia and the Pacific,0.097
Cambodia,Battambang & Pailin,East Asia and the Pacific,0.104
Cambodia,Kampong Cham,East Asia and the Pacific,0.16
Cambodia,Kampong Chhnang,East Asia and the Pacific,0.193
Cambodia,Kampong Speu,East Asia and the Pacific,0.182
Cambodia,Kampong Thom,East Asia and the Pacific,0.183
Cambodia,Kampot & Kep,East Asia and the Pacific,0.155
Cambodia,Kandal,East Asia and the Pacific,0.121
Cambodia,Kratie,East Asia and the Pacific,0.274
Cambodia,Mondol Kiri & Rattanak Kiri,East Asia and the Pacific,0.28
Cambodia,Otdar Mean Chey,East Asia and the Pacific,0.196
Cambodia,Phnom Penh,East Asia and the Pacific,0.026
Cambodia,Preah Sihanouk & Kaoh Kong,East Asia and the Pacific,0.091
Cambodia,Preah Vihear & Steung Treng,East Asia and the Pacific,0.304
Cambodia,Prey Veng,East Asia and the Pacific,0.12
Cambodia,Pursat,East Asia and the Pacific,0.221
Cambodia,Siem Reap,East Asia and the Pacific,0.204
Cambodia,Svay Rieng,East Asia and the Pacific,0.1
Cambodia,Takeo,East Asia and the Pacific,0.106
Lao People's Democratic Republic,Vientiane Capital,East Asia and the Pacific,0.012
Lao People's Democratic Republic,Phongsaly,East Asia and the Pacific,0.311
Lao People's Democratic Republic,Luangnamtha,East Asia and the Pacific,0.165
Lao People's Democratic Republic,Oudomxay,East Asia and the Pacific,0.248
Lao People's Democratic Republic,Bokeo,East Asia and the Pacific,0.212
Lao People's Democratic Republic,Luangprabang,East Asia and the Pacific,0.18
Lao People's Democratic Republic,Huaphanh,East Asia and the Pacific,0.184
Lao People's Democratic Republic,Xayabury,East Asia and the Pacific,0.079
Lao People's Democratic Republic,Xiengkhuang,East Asia and the Pacific,0.164
Lao People's Democratic Republic,Vientiane,East Asia and the Pacific,0.063
Lao People's Democratic Republic,Borikhamxay,East Asia and the Pacific,0.063
Lao People's Democratic Republic,Khammuane,East Asia and the Pacific,0.2
Lao People's Democratic Republic,Savannakhet,East Asia and the Pacific,0.262
Lao People's Democratic Republic,Saravane,East Asia and the Pacific,0.359
Lao People's Democratic Republic,Sekong,East Asia and the Pacific,0.254
Lao People's Democratic Republic,Champasack,East Asia and the Pacific,0.149
Lao People's Democratic Republic,Attapeu,East Asia and the Pacific,0.215
Liberia,Bomi,Sub-Saharan Africa,0.407
Liberia,Bong,Sub-Saharan Africa,0.508
Liberia,Gbarpolu,Sub-Saharan Africa,0.505
Liberia,Grand Bassa,Sub-Saharan Africa,0.527
Liberia,Grand Cape Mount,Sub-Saharan Africa,0.482
Liberia,Grand Gedeh,Sub-Saharan Africa,0.349
Liberia,Grand Kru,Sub-Saharan Africa,0.48
Liberia,Lofa,Sub-Saharan Africa,0.457
Liberia,Margibi,Sub-Saharan Africa,0.364
Liberia,Maryland,Sub-Saharan Africa,0.388
Liberia,Montserrado,Sub-Saharan Africa,0.25
